,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
66,09:16:52,23318.0,"('Red', 88, 23318.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
67,09:16:53,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
68,09:16:55,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
69,09:16:57,23314.0,"('Red', 88, 23314.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
70,09:16:58,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
71,09:17:00,23323.0,"('Red', 88, 23323.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
72,09:17:02,23324.0,"('Red', 88, 23324.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
73,09:17:03,23323.0,"('Red', 88, 23323.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
74,09:17:05,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
75,09:17:06,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
76,09:17:08,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
77,09:17:10,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
78,09:17:11,23322.0,"('Red', 88, 23322.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
79,09:17:13,23320.0,"('Red', 88, 23320.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
80,09:17:14,23329.0,"('Red', 88, 23329.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
81,09:17:16,23330.0,"('Red', 88, 23330.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
82,09:17:18,23329.0,"('Red', 88, 23329.0)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,,
83,09:17:19,23334.0,"('Red', 87, 23334.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,,
84,09:17:21,23331.0,"('Bluish_Green', 1)","('Red', 86, 23331.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
85,09:17:23,23329.0,"('Bluish_Green', 1)","('Red', 86, 23329.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
86,09:17:24,23328.0,"('Bluish_Green', 1)","('Red', 86, 23328.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
87,09:17:26,23328.0,"('Bluish_Green', 1)","('Red', 86, 23328.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
88,09:17:28,23325.0,"('Bluish_Green', 1)","('Red', 86, 23325.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
89,09:17:29,23325.0,"('Bluish_Green', 1)","('Red', 86, 23325.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
90,09:17:31,23324.0,"('Bluish_Green', 1)","('Red', 86, 23324.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
91,09:17:32,23324.0,"('Bluish_Green', 1)","('Red', 86, 23324.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
92,09:17:34,23325.0,"('Bluish_Green', 1)","('Red', 86, 23325.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
93,09:17:36,23324.0,"('Bluish_Green', 1)","('Red', 86, 23324.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
94,09:17:37,23322.0,"('Bluish_Green', 1)","('Red', 86, 23322.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
95,09:17:39,23323.0,"('Bluish_Green', 1)","('Red', 86, 23323.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
96,09:17:40,23323.0,"('Bluish_Green', 1)","('Red', 86, 23323.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
