,buy-vol,ltp
402,1424,7544.0
403,0,7547.0
404,0,7549.0
405,0,7549.0
406,0,7549.0
407,109,7545.0
408,349,7545.0
409,0,7552.0
410,1727,7550.0
411,0,7551.0
412,0,7550.0
413,0,7549.0
414,44,7548.0
415,0,7549.0
416,0,7550.0
417,0,7548.0
418,315,7548.0
419,0,7547.0
420,0,7549.0
421,0,7550.0
422,108,7546.0
423,0,7550.0
424,0,7550.0
425,34,7548.0
426,0,7550.0
427,0,7550.0
428,132,7549.0
429,0,7550.0
430,0,7550.0
431,397,7548.0
432,256,7548.0
433,984,7549.0
434,409,7550.0
435,693,7549.0
436,0,7550.0
437,0,7546.0
438,0,7546.0
439,0,7549.0
440,0,7548.0
441,0,7547.0
442,161,7545.0
443,0,7549.0
444,4507,7546.0
445,230,7546.0
446,0,7549.0
447,0,7545.0
448,0,7544.0
449,507,7541.0
450,192,7541.0
451,221,7542.0
452,277,7542.0
453,0,7545.0
454,125,7545.0
455,0,7548.0
456,246,7547.0
457,166,7545.0
458,0,7547.0
459,0,7547.0
460,12,7544.0
461,2519,7550.0
462,698,7550.0
463,1251,7553.0
464,411,7550.0
465,237,7550.0
466,1500,7550.0
467,0,7555.0
468,0,7555.0
469,187,7554.0
470,0,7555.0
471,0,7554.0
472,463,7551.0
473,0,7554.0
474,238,7550.0
475,0,7552.0
476,0,7555.0
477,505,7550.0
478,0,7553.0
479,0,7552.0
480,330,7550.0
481,0,7552.0
482,1198,7550.0
483,236,7550.0
484,0,7552.0
485,1511,7550.0
486,135,7550.0
487,440,7551.0
488,0,7553.0
489,0,7553.0
490,0,7555.0
491,0,7552.0
492,0,7552.0
493,0,7553.0
494,355,7550.0
495,167,7550.0
496,0,7553.0
497,0,7552.0
498,0,7552.0
499,89,7550.0
500,0,7553.0
501,0,7552.0
502,0,7553.0
503,0,7553.0
504,0,7553.0
505,0,7553.0
506,0,7553.0
507,0,7554.0
508,141,7551.0
509,297,7552.0
510,99,7553.0
511,2499,7553.0
512,0,7558.0
513,178,7553.0
514,218,7553.0
515,1323,7553.0
516,0,7555.0
517,0,7555.0
518,521,7553.0
519,1333,7554.0
520,202,7555.0
521,0,7560.0
522,1876,7555.0
523,409,7557.0
524,181,7557.0
525,0,7557.0
526,85,7555.0
527,0,7557.0
528,167,7555.0
529,0,7558.0
530,0,7558.0
531,138,7556.0
532,0,7557.0
533,0,7557.0
534,76,7554.0
535,125,7553.0
536,49,7553.0
537,0,7555.0
538,3970,7560.0
539,355,7560.0
540,0,7563.0
541,1020,7560.0
542,399,7560.0
543,341,7560.0
544,1287,7559.0
545,0,7562.0
546,0,7562.0
